TcCLB.397937.10,212,0.00,0.00,0,o
TcCLB.397937.5,132,0.05,0.04,0,o
TcCLB.398343.9,257,12.74,10.05,0,o
TcCLB.398345.10,413,28.40,0.00,1,o287-309i
TcCLB.398751.10,162,0.00,0.00,0,o
TcCLB.399033.10,194,0.00,0.00,0,o
TcCLB.399033.19,653,0.20,0.00,0,o
TcCLB.400945.10,329,21.89,16.05,1,i44-66o
TcCLB.401041.10,379,0.03,0.00,0,o
TcCLB.401473.9,433,0.00,0.00,0,o
TcCLB.401569.10,390,22.57,0.00,1,o363-385i
TcCLB.401661.10,519,0.01,0.00,0,o
TcCLB.403153.10,261,0.16,0.01,0,o
TcCLB.403153.20,59,0.01,0.01,0,o
TcCLB.403789.9,338,0.07,0.00,0,o
TcCLB.404001.10,550,2.78,0.01,0,o
TcCLB.404001.20,2329,0.00,0.00,0,o
TcCLB.404001.4,614,0.00,0.00,0,o
TcCLB.404711.10,913,220.98,1.59,7,i157-179o194-211i223-242o257-279i364-386o396-418i457-479o
TcCLB.404843.10,408,0.02,0.00,0,o
TcCLB.404843.20,278,90.40,22.56,4,o26-48i67-89o99-121i240-262o
TcCLB.404975.30,483,3.95,0.00,0,o
TcCLB.405165.10,199,1.41,0.35,0,o
TcCLB.405165.19,270,10.34,6.84,0,o
TcCLB.405179.10,353,0.12,0.02,0,o
TcCLB.405453.9,1124,26.22,22.73,1,i20-42o
TcCLB.406999.10,582,0.63,0.02,0,o
TcCLB.407477.10,218,10.71,0.01,0,o
TcCLB.407477.20,180,0.05,0.00,0,o
TcCLB.407477.30,269,0.01,0.00,0,o
TcCLB.407477.40,205,3.89,3.88,0,o
TcCLB.407477.44,121,0.00,0.00,0,o
TcCLB.407477.50,157,22.24,0.00,1,i80-102o
TcCLB.407477.60,310,0.03,0.01,0,o
TcCLB.407477.69,222,0.00,0.00,0,o
TcCLB.408345.10,135,0.00,0.00,0,o
TcCLB.408345.20,274,0.02,0.00,0,o
TcCLB.408437.10,423,0.42,0.01,0,o
TcCLB.408437.20,120,0.05,0.00,0,o
TcCLB.408437.29,676,0.08,0.00,0,o
TcCLB.408547.10,369,20.78,12.49,0,o
TcCLB.408547.5,133,8.42,0.00,0,o
TcCLB.408573.5,86,42.79,35.19,2,i13-35o45-67i
TcCLB.408573.9,529,0.52,0.09,0,o
TcCLB.408799.10,274,0.02,0.00,0,o
TcCLB.408799.19,179,0.20,0.00,0,o
TcCLB.409101.9,356,0.08,0.00,0,o
TcCLB.409117.10,125,0.07,0.00,0,i
TcCLB.409117.20,144,0.14,0.14,0,i
TcCLB.409139.9,356,3.49,0.02,0,o
TcCLB.410243.10,172,0.00,0.00,0,o
TcCLB.410589.10,249,0.00,0.00,0,o
TcCLB.410589.19,281,0.00,0.00,0,o
TcCLB.410943.10,167,24.12,2.10,1,o131-153i
TcCLB.410961.10,129,0.00,0.00,0,o
TcCLB.411337.10,390,0.00,0.00,0,o
TcCLB.411427.10,227,0.31,0.29,0,o
TcCLB.411427.30,396,0.01,0.00,0,o
TcCLB.411427.40,278,0.00,0.00,0,o
TcCLB.411427.49,232,65.36,22.86,3,i32-54o64-86i98-120o
TcCLB.412093.10,385,0.03,0.03,0,o
TcCLB.412943.9,212,21.90,0.00,1,i111-133o
TcCLB.413605.10,915,0.00,0.00,0,o
TcCLB.413977.10,266,0.05,0.03,0,o
TcCLB.414145.9,279,30.89,16.80,1,i29-46o
TcCLB.414517.9,372,0.00,0.00,0,o
TcCLB.415331.10,479,15.20,0.15,0,o
TcCLB.416503.10,874,112.80,0.01,5,o643-665i747-764o769-786i799-821o847-869i
TcCLB.416761.10,143,17.20,0.00,0,o
TcCLB.416883.18,179,0.00,0.00,0,o
TcCLB.416883.9,219,44.14,0.00,2,i135-157o162-184i
TcCLB.417091.10,268,0.07,0.03,0,o
TcCLB.417203.9,690,13.61,0.22,0,o
TcCLB.417797.9,288,0.00,0.00,0,o
TcCLB.417939.9,569,188.25,0.00,8,i235-257o303-325i346-368o378-400i446-468o473-495i502-524o539-561i
TcCLB.417993.10,405,29.45,3.41,0,o
TcCLB.418069.10,140,0.00,0.00,0,o
TcCLB.418405.10,67,21.74,21.74,1,i7-29o
TcCLB.418405.20,165,17.99,17.99,1,o10-32i
TcCLB.418405.30,255,3.28,0.00,0,o
TcCLB.418613.20,265,5.20,5.20,0,o
TcCLB.419043.10,242,0.58,0.00,0,o
TcCLB.419417.10,139,0.00,0.00,0,i
TcCLB.419417.19,500,0.01,0.00,0,o
TcCLB.419417.4,164,0.11,0.10,0,o
TcCLB.419469.14,172,0.00,0.00,0,o
TcCLB.419469.30,598,0.03,0.00,0,o
TcCLB.419637.9,480,0.92,0.09,0,o
TcCLB.419703.10,243,0.01,0.00,0,o
TcCLB.419703.20,256,0.04,0.04,0,o
TcCLB.420091.10,269,108.28,19.55,5,o4-23i68-87o92-114i121-143o158-180i
TcCLB.420293.20,728,54.49,15.66,3,i45-67o103-125i707-726o
TcCLB.420293.31,224,1.26,1.06,0,o
TcCLB.420293.40,377,2.42,2.37,0,o
TcCLB.420293.50,178,42.82,38.96,2,i9-28o43-62i
TcCLB.420369.20,717,60.20,17.42,1,i43-65o
TcCLB.420369.40,299,0.00,0.00,0,o
TcCLB.420495.10,397,0.03,0.01,0,o
TcCLB.420495.19,106,0.00,0.00,0,o
TcCLB.420989.10,207,0.27,0.26,0,o
TcCLB.421173.14,200,17.54,0.01,1,o177-199i
TcCLB.421173.4,818,20.65,16.39,1,i43-65o
TcCLB.421321.9,675,11.74,1.00,0,o
TcCLB.421619.10,470,0.00,0.00,0,o
TcCLB.421959.10,323,0.04,0.00,0,o
TcCLB.422041.9,350,0.00,0.00,0,o
TcCLB.422207.10,175,21.11,19.89,1,i13-32o
TcCLB.422207.21,153,0.00,0.00,0,o
TcCLB.422319.10,227,0.00,0.00,0,o
TcCLB.422507.10,190,0.02,0.00,0,o
TcCLB.422843.10,520,41.85,0.00,2,o465-482i495-517o
TcCLB.423205.10,136,27.23,23.01,1,i5-27o
TcCLB.424195.5,103,1.45,0.02,0,o
TcCLB.424195.9,201,1.15,1.14,0,o
TcCLB.424383.9,600,2.81,2.51,0,o
TcCLB.424795.10,142,45.54,22.95,2,o15-37i113-135o
TcCLB.424889.10,381,20.28,20.17,1,i20-38o
TcCLB.425311.9,648,0.58,0.00,0,o
TcCLB.425435.10,610,0.00,0.00,0,o
TcCLB.425851.9,435,0.05,0.00,0,o
TcCLB.426397.9,382,0.46,0.00,0,o
TcCLB.427247.10,582,0.94,0.85,0,o
TcCLB.427247.4,321,0.00,0.00,0,o
