name,length,num_reads,num_reads_primary,gc,ct
TcCLB.397937.10,NA,0,NA,NA,NA
TcCLB.397937.5,16,1074,1063,0.562,0.625
TcCLB.398343.9,1326,364,181,0.532,0.517
TcCLB.398345.10,NA,0,NA,NA,NA
TcCLB.398751.10,NA,0,NA,NA,NA
TcCLB.399033.10,NA,0,NA,NA,NA
TcCLB.399033.19,27,222,101,0.296,0.407
TcCLB.400945.10,103,56,39,0.456,0.408
TcCLB.401041.10,NA,0,NA,NA,NA
TcCLB.401473.9,NA,0,NA,NA,NA
TcCLB.401569.10,NA,0,NA,NA,NA
TcCLB.401661.10,NA,0,NA,NA,NA
TcCLB.403153.10,386,5,3,0.523,0.534
TcCLB.403153.20,2248,1251,736,0.543,0.506
TcCLB.403789.9,NA,0,NA,NA,NA
TcCLB.404001.10,15,212,185,0.467,0.267
TcCLB.404001.20,NA,0,NA,NA,NA
TcCLB.404001.4,12,391,329,0.583,0.417
TcCLB.404711.10,495,79,55,0.519,0.473
TcCLB.404843.10,NA,0,NA,NA,NA
TcCLB.404843.20,144,888,780,0.278,0.222
TcCLB.404975.30,NA,0,NA,NA,NA
TcCLB.405165.10,587,2,1,0.39,0.665
TcCLB.405165.19,42,492,259,0.429,0.762
TcCLB.405179.10,NA,0,NA,NA,NA
TcCLB.405453.9,NA,0,NA,0.516,0.4
TcCLB.406999.10,1608,235,129,0.574,0.526
TcCLB.407477.10,NA,0,NA,NA,NA
TcCLB.407477.20,11,231,224,0.364,0.182
TcCLB.407477.30,64,404,358,0.453,0.5
TcCLB.407477.40,37,3,2,0.459,0.73
TcCLB.407477.44,117,219,198,0.427,0.436
TcCLB.407477.50,81,2784,2689,0.383,0.309
TcCLB.407477.60,437,1830,500,0.421,0.426
TcCLB.407477.69,43,356,353,0.512,0.465
TcCLB.408345.10,NA,0,NA,NA,NA
TcCLB.408345.20,218,182,67,0.358,0.399
TcCLB.408437.10,NA,0,NA,NA,NA
TcCLB.408437.20,79,1174,875,0.241,0.253
TcCLB.408437.29,506,2,1,0.308,0.488
TcCLB.408547.10,36,6766,5796,0.528,0.389
