LmjF.01.0010,332,45.12,21.73,2,i5-27o245-267i
LmjF.01.0020,549,0.03,0.02,0,o
LmjF.01.0030,668,0.00,0.00,0,o
LmjF.01.0040,189,0.01,0.01,0,o
LmjF.01.0050,665,0.00,0.00,0,o
LmjF.01.0060,249,2.33,2.32,0,o
LmjF.01.0070,598,0.02,0.00,0,o
LmjF.01.0080,237,28.72,14.52,0,o
LmjF.01.0090,274,0.08,0.00,0,o
LmjF.01.0100,318,0.22,0.06,0,o
LmjF.01.0110,195,0.13,0.13,0,o
LmjF.01.0120,657,0.00,0.00,0,o
LmjF.01.0130,364,0.01,0.00,0,o
LmjF.01.0140,82,0.01,0.01,0,i
LmjF.01.0150,116,22.09,22.09,1,o20-42i
LmjF.01.0160,80,0.00,0.00,0,o
LmjF.01.0170,458,0.00,0.00,0,o
LmjF.01.0180,772,214.12,0.00,10,o87-109i155-177o206-228i235-253o263-285i292-311o339-361i374-396o443-465i494-516o
LmjF.01.0190,196,0.24,0.00,0,o
LmjF.01.0200,300,0.15,0.01,0,o
LmjF.01.0210,897,0.00,0.00,0,o
LmjF.01.0220,335,0.01,0.00,0,o
LmjF.01.0230,138,15.15,4.85,0,o
LmjF.01.0240,925,0.45,0.00,0,o
LmjF.01.0250,788,0.42,0.00,0,o
LmjF.01.0260,281,0.00,0.00,0,o
LmjF.01.0270,107,1.58,0.74,0,o
LmjF.01.0280,413,0.52,0.00,0,o
LmjF.01.0290,172,0.01,0.00,0,o
LmjF.01.0300,59,0.00,0.00,0,i
LmjF.01.0310,388,0.01,0.00,0,o
LmjF.01.0315,143,44.65,22.94,2,i32-54o104-126i
LmjF.01.0320,307,0.02,0.00,0,o
LmjF.01.0330,209,22.61,0.26,1,o80-102i
LmjF.01.0335,97,40.05,35.94,2,i7-29o44-66i
LmjF.01.0340,258,63.10,0.00,3,i156-175o185-207i220-242o
LmjF.01.0350,734,0.18,0.00,0,o
LmjF.01.0360,189,20.71,0.46,1,i119-141o
LmjF.01.0370,188,47.95,20.59,2,i20-37o100-122i
LmjF.01.0380,818,2.77,0.00,0,o
LmjF.01.0390,822,0.00,0.00,0,o
LmjF.01.0400,559,0.12,0.02,0,o
LmjF.01.0410,200,0.05,0.00,0,o
LmjF.01.0420,200,0.05,0.00,0,o
LmjF.01.0430,743,5.69,5.69,0,o
LmjF.01.0440,587,239.38,21.09,12,i26-45o55-76i83-105o120-142i205-227o231-253i342-364o374-393i395-414o429-451i464-483o498-520i
LmjF.01.0450,218,0.73,0.01,0,o
LmjF.01.0460,1426,0.01,0.00,0,o
LmjF.01.0470,696,0.01,0.00,0,o
LmjF.01.0480,359,0.40,0.00,0,o
LmjF.01.0490,698,0.18,0.00,0,o
LmjF.01.0500,707,0.10,0.00,0,o
LmjF.01.0510,194,0.48,0.48,0,o
LmjF.01.0520,715,17.32,0.00,0,o
LmjF.01.0530,1607,0.10,0.00,0,o
LmjF.01.0540,659,0.00,0.00,0,o
LmjF.01.0550,289,0.29,0.27,0,o
LmjF.01.0560,620,0.18,0.00,0,o
LmjF.01.0570,326,86.68,0.00,3,o96-118i144-166o176-198i
LmjF.01.0580,969,0.54,0.04,0,o
LmjF.01.0590,424,0.00,0.00,0,o
LmjF.01.0600,1784,1.66,0.00,0,o
LmjF.01.0610,243,1.86,0.05,0,o
LmjF.01.0620,591,1.88,0.00,0,o
LmjF.01.0630,625,0.25,0.24,0,o
LmjF.01.0640,1112,20.28,17.02,1,i42-64o
LmjF.01.0650,494,0.01,0.01,0,o
LmjF.01.0660,1487,0.08,0.00,0,o
LmjF.01.0670,305,0.00,0.00,0,o
LmjF.01.0680,800,0.14,0.10,0,o
LmjF.01.0690,230,3.98,0.00,0,o
LmjF.01.0700,254,5.58,0.07,0,o
LmjF.01.0710,541,3.45,2.28,0,o
LmjF.01.0720,1577,3.69,0.01,0,o
LmjF.01.0730,2241,0.24,0.00,0,o
LmjF.01.0740,751,0.03,0.03,0,o
LmjF.01.0750,1417,0.01,0.00,0,o
LmjF.01.0760,339,0.20,0.02,0,o
LmjF.01.0770,403,0.00,0.00,0,o
LmjF.01.0780,403,0.00,0.00,0,o
LmjF.01.0790,528,0.02,0.00,0,o
LmjF.01.0800,509,0.01,0.00,0,o
LmjF.01.0810,1017,146.26,7.20,7,i55-77o92-114i121-143o153-172i192-209o219-241i248-270o
LmjF.01.0820,1159,165.28,0.04,5,i134-156o176-198i211-230o245-267i333-355o
LmjF.01.0830,678,0.01,0.00,0,o
LmjF.02.0010,814,24.70,0.00,1,i109-127o
LmjF.02.0020,100,0.00,0.00,0,i
LmjF.02.0030,381,11.39,11.31,0,o
LmjF.02.0040,619,0.02,0.01,0,o
LmjF.02.0050,218,13.62,0.00,1,i200-217o
LmjF.02.0060,191,1.97,1.96,0,o
LmjF.02.0070,397,7.99,0.00,0,o
LmjF.02.0080,996,2.97,0.01,0,o
LmjF.02.0085,314,0.45,0.00,0,o
LmjF.02.0090,352,0.05,0.04,0,o
LmjF.02.0100,917,0.18,0.00,0,o
LmjF.02.0110,1166,11.92,0.00,0,o
LmjF.02.0120,4905,0.47,0.00,0,o
LmjF.02.0130,239,0.56,0.00,0,o
LmjF.02.0140,895,0.04,0.00,0,o
LmjF.02.0150,1960,0.56,0.00,0,o
LmjF.02.0155,99,0.26,0.20,0,i
LmjF.02.0160,817,19.34,0.01,1,i107-129o
LmjF.02.0170,843,25.01,0.11,1,i127-149o
LmjF.02.0180,942,21.66,0.00,1,i160-182o
LmjF.02.0190,1181,57.74,0.00,1,i434-456o
LmjF.02.0200,773,20.66,20.66,1,i21-40o
LmjF.02.0210,863,25.01,0.11,1,i127-149o
LmjF.02.0220,942,21.66,0.00,1,i160-182o
