name,length,num_reads,num_reads_primary,num_reads_secondary,gc,ct
LmjF.01.0010,2278,58,13,9,0.529,0.591
LmjF.01.0020,214,33,21,5,0.598,0.556
LmjF.01.0030,854,37,8,7,0.567,0.644
LmjF.01.0040,91,39,12,5,0.637,0.659
LmjF.01.0050,187,243,102,37,0.567,0.594
LmjF.01.0060,447,33,17,3,0.602,0.47
LmjF.01.0070,543,31,14,9,0.567,0.582
LmjF.01.0080,297,56,26,5,0.63,0.626
LmjF.01.0090,924,45,11,5,0.682,0.518
LmjF.01.0100,322,11,2,2,0.612,0.481
LmjF.01.0110,288,133,59,31,0.556,0.545
LmjF.01.0120,359,9,6,1,0.596,0.515
LmjF.01.0130,1360,916,280,86,0.61,0.592
LmjF.01.0140,1536,70,8,8,0.645,0.539
LmjF.01.0150,163,59,41,7,0.577,0.632
LmjF.01.0160,309,23,16,3,0.638,0.553
LmjF.01.0170,940,55,14,12,0.587,0.531
LmjF.01.0180,283,72,61,5,0.537,0.597
LmjF.01.0190,196,56,49,1,0.561,0.485
LmjF.01.0200,162,58,23,20,0.586,0.599
LmjF.01.0210,657,98,63,7,0.584,0.577
LmjF.01.0220,2926,99,51,12,0.648,0.515
LmjF.01.0230,336,34,10,4,0.595,0.491
LmjF.01.0240,382,5,2,2,0.62,0.61
LmjF.01.0250,421,12,2,2,0.62,0.48
LmjF.01.0260,831,121,101,4,0.573,0.557
LmjF.01.0270,1058,188,33,21,0.581,0.56
LmjF.01.0280,410,30,11,3,0.585,0.48
LmjF.01.0290,258,64,22,9,0.578,0.543
LmjF.01.0300,436,204,103,56,0.489,0.525
LmjF.01.0310,81,49,15,9,0.383,0.543
LmjF.01.0315,148,20,10,6,0.473,0.507
LmjF.01.0320,148,50,20,7,0.446,0.628
LmjF.01.0330,254,118,26,19,0.469,0.583
LmjF.01.0335,295,223,47,46,0.471,0.549
LmjF.01.0340,494,20,7,5,0.601,0.516
LmjF.01.0350,575,11,2,2,0.581,0.461
LmjF.01.0360,292,18,6,4,0.586,0.555
LmjF.01.0370,297,51,24,9,0.62,0.576
LmjF.01.0380,573,9,4,1,0.647,0.494
LmjF.01.0390,474,38,16,5,0.624,0.544
LmjF.01.0400,390,26,7,4,0.605,0.544
LmjF.01.0410,560,928,331,199,0.621,0.52
LmjF.01.0420,180,1604,723,489,0.572,0.667
LmjF.01.0430,441,53,15,9,0.601,0.583
LmjF.01.0440,2230,163,56,16,0.617,0.497
LmjF.01.0450,1723,105,54,17,0.598,0.586
LmjF.01.0460,1720,135,41,28,0.578,0.571
LmjF.01.0470,126,50,14,9,0.492,0.54
LmjF.01.0480,1251,42,7,6,0.649,0.569
LmjF.01.0490,608,40,14,4,0.587,0.533
LmjF.01.0500,2158,24,4,3,0.615,0.545
LmjF.01.0510,198,75,14,10,0.646,0.576
LmjF.01.0520,1567,338,157,67,0.529,0.59
LmjF.01.0530,266,46,13,6,0.628,0.568
LmjF.01.0540,559,56,20,8,0.572,0.594
LmjF.01.0550,767,45,19,10,0.641,0.499
LmjF.01.0560,215,71,43,17,0.581,0.53
LmjF.01.0570,202,48,7,4,0.599,0.455
LmjF.01.0580,512,47,21,10,0.648,0.537
LmjF.01.0590,577,27,6,5,0.643,0.44
LmjF.01.0600,113,12,5,2,0.681,0.593
LmjF.01.0610,107,27,13,3,0.654,0.607
LmjF.01.0620,469,270,100,69,0.62,0.441
LmjF.01.0630,1472,41,18,8,0.631,0.494
LmjF.01.0640,345,7,3,1,0.649,0.458
LmjF.01.0650,356,87,79,2,0.629,0.534
LmjF.01.0660,491,81,29,24,0.621,0.495
LmjF.01.0670,2866,145,18,11,0.611,0.573
LmjF.01.0680,1269,53,19,13,0.629,0.515
LmjF.01.0690,861,83,49,5,0.569,0.603
LmjF.01.0700,430,50,18,13,0.605,0.502
LmjF.01.0710,182,4,2,1,0.692,0.533
LmjF.01.0720,452,49,12,11,0.588,0.533
LmjF.01.0730,251,10,3,3,0.629,0.434
LmjF.01.0740,832,46,13,10,0.625,0.553
LmjF.01.0750,34,11,4,2,0.529,0.559
LmjF.01.0760,559,60,15,11,0.565,0.508
LmjF.01.0770,717,406,120,44,0.593,0.506
LmjF.01.0780,1,146,42,19,1,0
LmjF.01.0790,208,32,25,2,0.615,0.577
